City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
4,Rikitea,PF,74.82,clear sky,-23.1203,-134.9692,People ThankYou
6,Borba,BR,77.68,broken clouds,-4.3878,-59.5939,Hotel da Amazônia
10,Vaini,TO,77.16,scattered clouds,-21.2,-175.2,Keleti Beach Resort
13,Carnarvon,AU,71.67,clear sky,-24.8667,113.6333,Hospitality Carnarvon
14,Katsuura,JP,71.71,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
18,Tucumcari,US,82.24,clear sky,35.1717,-103.725,"Holiday Inn Express & Suites Tucumcari, an IHG Hotel"
21,Dingle,PH,84.2,light rain,10.9995,122.6711,SEGAYA PROPERTY
22,Westport,US,75.34,clear sky,41.1415,-73.3579,The Westport Inn
24,Nargana,PA,80.19,overcast clouds,9.4428,-78.5906,Dubbir
27,Atuona,PF,77.97,clear sky,-9.8,-139.0333,Villa Enata
28,Lamu,KE,75.42,few clouds,-2.2717,40.902,Lamu House
30,Bethel,US,71.96,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
31,Hobyo,SO,76.51,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
36,Butaritari,KI,83.3,light rain,3.0707,172.7902,Isles Sunset Lodge
37,Kiunga,PG,78.3,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
38,Salalah,OM,77.09,overcast clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
44,Torbay,CA,70.57,scattered clouds,47.6666,-52.7314,Gallows Cove
45,Tanete,ID,84.42,few clouds,-3.9443,119.7848,Wisma Tri Multi
46,Mahibadhoo,MV,82.45,broken clouds,3.7833,72.9667,Omadhoo Inn
52,Oriximina,BR,74.82,scattered clouds,-1.7656,-55.8661,Pousada Tia Amélia
54,Namatanai,PG,82.04,moderate rain,-3.6667,152.4333,Seagulls Inn Namatani
58,Bonavista,CA,71.6,moderate rain,48.6499,-53.1147,Abbott's Bed & Breakfast
62,Azare,NG,73.94,overcast clouds,11.6765,10.1948,Muk hostel
63,Yerofey Pavlovich,RU,72.16,clear sky,53.9667,121.9667,lounges and warm parking
64,Yangjiang,CN,83.57,light rain,21.85,111.9667,HUALUXE Yangjiang City Center
67,Avarua,CK,73.45,light rain,-21.2078,-159.775,Paradise Inn
68,Ruidoso,US,70.25,broken clouds,33.3317,-105.673,Inn of the Mountain Gods
70,Harper,LR,75.4,broken clouds,4.375,-7.7169,Screensaver
71,Puerto Ayora,EC,69.55,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
72,Brignoles,FR,74.95,clear sky,43.4,6.0667,Inter-hotel La Belle Etape
75,Lompoc,US,77.11,mist,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
77,Laramie,US,69.73,broken clouds,41.3114,-105.5911,Fairfield Inn & Suites by Marriott Laramie
83,Carauari,BR,78.78,scattered clouds,-4.8828,-66.8958,Hotel Fellip
87,Port Hedland,AU,84.25,clear sky,-20.3167,118.5667,The Esplanade Hotel
89,Eureka,US,69.13,broken clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
90,Coahuayana,MX,83.68,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
97,Faanui,PF,78.71,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
98,Tual,ID,79.56,broken clouds,-5.6667,132.75,Grand Vilia Hotel
101,Vila Velha,BR,69.75,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
110,Sao Filipe,CV,76.59,overcast clouds,14.8961,-24.4956,Hotel Xaguate
112,Seoul,KR,81.97,clear sky,37.5683,126.9778,롯데호텔 서울
114,Botwood,CA,74.68,broken clouds,49.1499,-55.3482,Exploits Hostel
117,Khanpur,PK,83.95,clear sky,28.6453,70.6567,Ahmad bartan store
119,Calafell,ES,79.75,clear sky,41.2,1.5683,Hotel Kursaal Calafell Playa
125,Bandarbeyla,SO,77.4,scattered clouds,9.4942,50.8122,JABIR HOTEL
127,Kapoeta,SS,72.39,broken clouds,4.7717,33.5903,Eastgate Hotel
130,Rincon,US,82.26,broken clouds,32.296,-81.2354,Days Inn Rincon
131,Porto Nacional,BR,77.0,clear sky,-10.7081,-48.4172,Vila Real Hotel
135,Hami,CN,76.98,overcast clouds,42.8,93.45,Laoyutang Resort
138,Virginia Beach,US,79.02,overcast clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
140,Saint Anthony,US,79.72,clear sky,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
144,Lorengau,PG,83.23,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
146,Les Cayes,HT,80.31,broken clouds,18.2,-73.75,Villa Orphee
149,Bintulu,MY,79.21,few clouds,3.1667,113.0333,900 Boutique INN
151,Puerto El Triunfo,SV,80.76,few clouds,13.2833,-88.55,Hotel Jardin
153,Fortuna,US,68.86,broken clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
155,Myitkyina,MM,75.42,overcast clouds,25.3833,97.4,Shwe Phyu Hotel
156,Flin Flon,CA,74.95,overcast clouds,54.7682,-101.865,Victoria Inn Flin Flon
161,Gat,IL,77.68,clear sky,31.61,34.7642,OlusHome
