City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Albany,US,42.6001,-73.9662,66.02,80,100,3.15,overcast clouds
1,Busselton,AU,-33.65,115.3333,59.04,63,0,10.76,clear sky
2,Evensk,RU,61.95,159.2333,55.85,75,41,9.66,scattered clouds
3,Saint-Pierre,RE,-21.3393,55.4781,65.84,82,75,9.22,broken clouds
4,Rikitea,PF,-23.1203,-134.9692,74.82,75,0,12.82,clear sky
5,Lagos,NG,6.5833,3.75,77.32,86,100,5.28,overcast clouds
6,Borba,BR,-4.3878,-59.5939,77.68,72,77,2.33,broken clouds
7,Yellowknife,CA,62.456,-114.3525,61.32,67,75,14.97,broken clouds
8,Clyde River,CA,70.4692,-68.5914,43.7,79,95,1.05,overcast clouds
9,Saldanha,ZA,-33.0117,17.9442,51.85,66,11,11.77,few clouds
10,Vaini,TO,-21.2,-175.2,77.16,65,40,13.8,scattered clouds
11,Ushuaia,AR,-54.8,-68.3,42.46,81,40,3.44,scattered clouds
12,Ossora,RU,59.2353,163.0719,58.98,82,99,4.76,overcast clouds
13,Carnarvon,AU,-24.8667,113.6333,71.67,75,0,11.5,clear sky
14,Katsuura,JP,35.1333,140.3,71.71,89,100,13.38,overcast clouds
15,Barrow,US,71.2906,-156.7887,39.22,81,40,17.27,scattered clouds
16,Port Elizabeth,ZA,-33.918,25.5701,57.49,94,0,5.75,clear sky
17,Husavik,IS,66.0449,-17.3389,48.11,85,100,2.57,overcast clouds
18,Tucumcari,US,35.1717,-103.725,82.24,42,1,8.05,clear sky
19,Vostok,RU,46.4856,135.8833,69.21,63,14,2.33,few clouds
20,Necochea,AR,-38.5473,-58.7368,44.04,71,1,10.4,clear sky
21,Dingle,PH,10.9995,122.6711,84.2,75,50,5.48,light rain
22,Westport,US,41.1415,-73.3579,75.34,74,1,1.99,clear sky
23,Geraldton,AU,-28.7667,114.6,63.01,48,4,18.41,clear sky
24,Nargana,PA,9.4428,-78.5906,80.19,82,93,5.1,overcast clouds
25,Iqaluit,CA,63.7506,-68.5145,46.13,81,90,3.44,overcast clouds
